,DATETIMEDATA,PM25,RAIN,PM10,O3,CO,NO2,SO2,WD,WS,TEMP,RH,BP
0,2024-01-30 00:00:00,12.2,0,,33.0,,,,172,1,26,82,762
1,2024-01-30 01:00:00,11.8,0,,17.0,,,,175,1,26,80,761
2,2024-01-30 02:00:00,18.0,4,,1.0,,,,134,1,25,85,761
3,2024-01-30 03:00:00,9.6,0,,11.0,,,,167,1,25,82,760
4,2024-01-30 04:00:00,12.5,0,,8.0,,,,103,1,26,81,760
5,2024-01-30 05:00:00,12.5,0,,0.0,,,,108,1,26,82,761
6,2024-01-30 06:00:00,10.4,0,,1.0,,,,121,1,26,83,761
7,2024-01-30 07:00:00,18.7,0,,13.0,,,,125,1,26,81,761
8,2024-01-30 08:00:00,17.5,0,,0.0,,,,120,1,28,74,762
9,2024-01-30 09:00:00,17.2,0,,3.0,,,,167,1,29,67,762
10,2024-01-30 10:00:00,12.7,0,,20.0,,,,148,0,30,60,762
11,2024-01-30 11:00:00,14.9,0,,30.0,,,,193,0,31,56,761
12,2024-01-30 12:00:00,15.3,0,,31.0,,,,198,1,32,52,761
13,2024-01-30 13:00:00,18.9,0,,19.0,,,,166,1,32,52,760
14,2024-01-30 14:00:00,15.8,0,,,,,,188,1,32,50,759
15,2024-01-30 15:00:00,17.4,0,,14.0,,,,184,1,32,52,759
16,2024-01-30 16:00:00,16.3,0,,0.0,,,,139,1,31,55,759
17,2024-01-30 17:00:00,21.5,0,,1.0,,,,130,1,29,61,759
18,2024-01-30 18:00:00,16.4,0,,6.0,,,,131,1,28,67,760
19,2024-01-30 19:00:00,24.0,0,,2.0,,,,120,1,28,71,760
20,2024-01-30 20:00:00,21.0,0,,4.0,,,,120,1,27,72,761
21,2024-01-30 21:00:00,22.1,0,,14.0,,,,121,1,27,73,761
22,2024-01-30 22:00:00,14.7,0,,26.0,,,,117,1,27,75,762
23,2024-01-30 23:00:00,14.3,0,,28.0,,,,118,1,27,76,762
24,2024-01-31 00:00:00,18.0,0,,25.0,,,,113,0,26,78,761
25,2024-01-31 01:00:00,18.7,0,,6.0,,,,107,0,26,79,761
26,2024-01-31 02:00:00,23.7,0,,17.0,,,,108,1,26,78,760
27,2024-01-31 03:00:00,17.1,0,,1.0,,,,114,1,26,79,760
28,2024-01-31 04:00:00,14.8,0,,9.0,,,,112,1,26,82,760
29,2024-01-31 05:00:00,19.8,0,,0.0,,,,108,0,26,85,760
30,2024-01-31 06:00:00,15.8,0,,1.0,,,,107,0,25,88,761
31,2024-01-31 07:00:00,21.7,0,,2.0,,,,108,0,26,86,761
32,2024-01-31 08:00:00,21.2,0,,1.0,,,,110,1,28,75,761
33,2024-01-31 09:00:00,16.1,0,,1.0,,,,127,1,29,68,762
34,2024-01-31 10:00:00,15.0,0,,0.0,,,,164,1,30,59,762
35,2024-01-31 11:00:00,13.3,0,,2.0,,,,164,1,31,58,761
36,2024-01-31 12:00:00,14.0,0,,14.0,,,,189,1,31,55,761
37,2024-01-31 13:00:00,17.4,0,,0.0,,,,184,1,31,54,760
38,2024-01-31 14:00:00,16.3,0,,16.0,,,,161,1,31,54,759
39,2024-01-31 15:00:00,12.9,0,,,,,,180,1,31,54,759
