,DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD,stationID
0,2023-12-01 00:00:00,9.1,,,,,,1,26,93,111,44t
1,2023-12-01 01:00:00,9.8,,,,,,1,25,96,117,44t
2,2023-12-01 02:00:00,12.4,,,,,,1,25,97,114,44t
3,2023-12-01 03:00:00,11.6,,,,,,0,25,96,107,44t
4,2023-12-01 04:00:00,9.6,,,,,,0,25,99,116,44t
5,2023-12-01 05:00:00,10.8,,,,,,0,25,99,109,44t
6,2023-12-01 06:00:00,10.8,,,,,,0,25,99,104,44t
7,2023-12-01 07:00:00,11.0,,,,,,0,25,99,106,44t
8,2023-12-01 08:00:00,15.4,,,,,,0,26,93,112,44t
9,2023-12-01 09:00:00,15.0,,,,,,1,28,82,158,44t
10,2023-12-01 10:00:00,10.5,,,,,,1,28,82,135,44t
11,2023-12-01 11:00:00,8.9,,,,,,1,28,81,127,44t
12,2023-12-01 12:00:00,6.6,,,,,,1,28,81,150,44t
13,2023-12-01 13:00:00,6.2,,,,,,1,29,74,205,44t
14,2023-12-01 14:00:00,10.7,,,,,,1,29,76,146,44t
15,2023-12-01 15:00:00,12.2,,,,,,1,29,76,130,44t
16,2023-12-01 16:00:00,13.7,,,,,,1,29,77,165,44t
17,2023-12-01 17:00:00,10.9,,,,,,1,29,76,187,44t
18,2023-12-01 18:00:00,12.0,,,,,,1,28,77,163,44t
19,2023-12-01 19:00:00,13.2,,,,,,1,28,79,169,44t
20,2023-12-01 20:00:00,16.6,,,,,,1,28,80,153,44t
21,2023-12-01 21:00:00,13.8,,,,,,1,27,81,139,44t
22,2023-12-01 22:00:00,15.0,,,,,,1,28,82,123,44t
23,2023-12-01 23:00:00,10.9,,,,,,2,25,91,66,44t
24,2023-12-02 00:00:00,7.1,,,,,,1,24,89,88,44t
25,2023-12-02 01:00:00,5.3,,,,,,0,24,94,110,44t
26,2023-12-02 02:00:00,9.4,,,,,,0,24,97,109,44t
27,2023-12-02 03:00:00,7.5,,,,,,0,24,98,108,44t
28,2023-12-02 04:00:00,6.2,,,,,,0,24,98,110,44t
29,2023-12-02 05:00:00,7.4,,,,,,0,23,98,111,44t
30,2023-12-02 06:00:00,10.7,,,,,,0,24,98,113,44t
31,2023-12-02 07:00:00,8.4,,,,,,0,24,96,110,44t
32,2023-12-02 08:00:00,13.7,,,,,,0,25,93,111,44t
33,2023-12-02 09:00:00,16.9,,,,,,1,27,85,117,44t
34,2023-12-02 10:00:00,13.8,,,,,,0,28,78,100,44t
35,2023-12-02 11:00:00,11.9,,,,,,1,28,78,81,44t
36,2023-12-02 12:00:00,11.8,,,,,,1,27,82,123,44t
37,2023-12-02 13:00:00,9.7,,,,,,1,28,79,118,44t
38,2023-12-02 14:00:00,11.5,,,,,,2,27,88,135,44t
39,2023-12-02 15:00:00,14.2,,,,,,0,25,90,135,44t
40,2023-12-02 16:00:00,13.3,,,,,,1,26,89,182,44t
41,2023-12-02 17:00:00,14.2,,,,,,0,25,95,129,44t
42,2023-12-02 18:00:00,11.4,,,,,,0,24,96,107,44t
43,2023-12-02 19:00:00,12.7,,,,,,0,24,97,103,44t
44,2023-12-02 20:00:00,17.3,,,,,,0,25,96,108,44t
45,2023-12-02 21:00:00,14.1,,,,,,0,25,93,94,44t
46,2023-12-02 22:00:00,10.3,,,,,,0,25,96,99,44t
47,2023-12-02 23:00:00,14.7,,,,,,0,25,93,97,44t
48,2023-12-03 00:00:00,13.8,,,,,,0,25,95,113,44t
49,2023-12-03 01:00:00,15.5,,,,,,0,25,98,101,44t
50,2023-12-03 02:00:00,13.0,,,,,,0,25,98,97,44t
51,2023-12-03 03:00:00,11.6,,,,,,0,25,98,102,44t
52,2023-12-03 04:00:00,12.4,,,,,,0,24,99,110,44t
53,2023-12-03 05:00:00,14.9,,,,,,0,24,99,113,44t
54,2023-12-03 06:00:00,12.0,,,,,,0,24,99,106,44t
55,2023-12-03 07:00:00,9.4,,,,,,0,25,99,107,44t
56,2023-12-03 08:00:00,12.6,,,,,,0,26,93,115,44t
57,2023-12-03 09:00:00,10.5,,,,,,0,28,82,109,44t
58,2023-12-03 10:00:00,9.6,,,,,,1,30,70,128,44t
59,2023-12-03 11:00:00,8.6,,,,,,1,30,71,134,44t
60,2023-12-03 12:00:00,5.6,,,,,,1,31,65,135,44t
61,2023-12-03 13:00:00,8.5,,,,,,1,30,74,138,44t
62,2023-12-03 14:00:00,7.5,,,,,,1,29,79,151,44t
63,2023-12-03 15:00:00,5.3,,,,,,1,29,72,167,44t
64,2023-12-03 16:00:00,6.6,,,,,,1,28,73,125,44t
65,2023-12-03 17:00:00,6.9,,,,,,1,28,75,129,44t
66,2023-12-03 18:00:00,8.1,,,,,,1,27,81,116,44t
67,2023-12-03 19:00:00,9.3,,,,,,1,27,81,108,44t
68,2023-12-03 20:00:00,7.0,,,,,,0,27,84,96,44t
69,2023-12-03 21:00:00,9.2,,,,,,0,27,85,96,44t
70,2023-12-03 22:00:00,9.8,,,,,,0,27,85,101,44t
71,2023-12-03 23:00:00,7.3,,,,,,0,26,92,107,44t
72,2023-12-04 00:00:00,12.1,,,,,,1,25,95,114,44t
73,2023-12-04 01:00:00,10.6,,,,,,0,25,95,106,44t
74,2023-12-04 02:00:00,7.4,,,,,,0,25,97,106,44t
75,2023-12-04 03:00:00,6.5,,,,,,0,25,98,108,44t
76,2023-12-04 04:00:00,4.6,,,,,,0,25,98,112,44t
77,2023-12-04 05:00:00,8.5,,,,,,0,25,99,107,44t
78,2023-12-04 06:00:00,10.1,,,,,,0,24,99,109,44t
79,2023-12-04 07:00:00,12.9,,,,,,0,25,97,111,44t
80,2023-12-04 08:00:00,13.5,,,,,,1,28,82,113,44t
81,2023-12-04 09:00:00,11.3,,,,,,1,30,70,122,44t
82,2023-12-04 10:00:00,9.6,,,,,,1,31,61,130,44t
83,2023-12-04 11:00:00,7.3,,,,,,1,32,58,143,44t
84,2023-12-04 12:00:00,6.5,,,,,,1,33,57,146,44t
85,2023-12-04 13:00:00,7.2,,,,,,1,33,57,150,44t
86,2023-12-04 14:00:00,5.5,,,,,,1,32,61,166,44t
87,2023-12-04 15:00:00,4.5,,,,,,2,31,67,218,44t
88,2023-12-04 16:00:00,6.8,,,,,,1,29,74,147,44t
89,2023-12-04 17:00:00,8.8,,,,,,1,29,77,150,44t
90,2023-12-04 18:00:00,7.9,,,,,,1,28,79,117,44t
91,2023-12-04 19:00:00,10.7,,,,,,1,28,79,107,44t
92,2023-12-04 20:00:00,10.1,,,,,,1,28,81,118,44t
93,2023-12-04 21:00:00,9.9,,,,,,1,28,82,109,44t
94,2023-12-04 22:00:00,8.9,,,,,,1,28,81,95,44t
95,2023-12-04 23:00:00,9.3,,,,,,1,28,82,98,44t
96,2023-12-05 00:00:00,8.1,,,,,,1,27,83,87,44t
97,2023-12-05 01:00:00,8.8,,,,,,1,27,82,99,44t
98,2023-12-05 02:00:00,8.6,,,,,,0,27,83,108,44t
99,2023-12-05 03:00:00,6.7,,,,,,0,27,84,114,44t
100,2023-12-05 04:00:00,6.4,,,,,,1,27,86,112,44t
101,2023-12-05 05:00:00,9.0,,,,,,0,27,87,108,44t
102,2023-12-05 06:00:00,8.4,,,,,,0,27,89,111,44t
103,2023-12-05 07:00:00,10.0,,,,,,1,28,82,114,44t
104,2023-12-05 08:00:00,7.5,,,,,,1,29,75,100,44t
105,2023-12-05 09:00:00,12.4,,,,,,1,30,72,107,44t
106,2023-12-05 10:00:00,11.4,,,,,,1,31,65,131,44t
107,2023-12-05 11:00:00,9.7,,,,,,1,32,59,125,44t
108,2023-12-05 12:00:00,8.6,,,,,,1,32,58,170,44t
109,2023-12-05 13:00:00,10.4,,,,,,1,32,59,197,44t
110,2023-12-05 14:00:00,9.1,,5.0,,,,1,31,61,151,44t
