Unnamed: 0,DATETIMEDATA,PM25,WS,TEMP,RH,WD,stationID
0,2023-12-01 00:00:00,9.1,1,26.0,93.0,111.0,44t
1.0,2023-12-01 01:00:00,9.8,1,25.0,96.0,117.0,44t
2.0,2023-12-01 02:00:00,12.4,1,25.0,97.0,114.0,44t
3.0,2023-12-01 03:00:00,11.6,0,25.0,96.0,107.0,44t
4.0,2023-12-01 04:00:00,9.6,0,25.0,99.0,116.0,44t
5.0,2023-12-01 05:00:00,10.8,0,25.0,99.0,109.0,44t
6.0,2023-12-01 06:00:00,10.8,0,25.0,99.0,104.0,44t
7.0,2023-12-01 07:00:00,11.0,0,25.0,99.0,106.0,44t
8.0,2023-12-01 08:00:00,15.4,0,26.0,93.0,112.0,44t
9.0,2023-12-01 09:00:00,15.0,1,28.0,82.0,158.0,44t
10.0,2023-12-01 10:00:00,10.5,1,28.0,82.0,135.0,44t
11.0,2023-12-01 11:00:00,8.9,1,28.0,81.0,127.0,44t
12.0,2023-12-01 12:00:00,6.6,1,28.0,81.0,150.0,44t
13.0,2023-12-01 13:00:00,6.2,1,29.0,74.0,205.0,44t
14.0,2023-12-01 14:00:00,10.7,1,29.0,76.0,146.0,44t
15.0,2023-12-01 15:00:00,12.2,1,29.0,76.0,130.0,44t
16.0,2023-12-01 16:00:00,13.7,1,29.0,77.0,165.0,44t
17.0,2023-12-01 17:00:00,10.9,1,29.0,76.0,187.0,44t
18.0,2023-12-01 18:00:00,12.0,1,28.0,77.0,163.0,44t
19.0,2023-12-01 19:00:00,13.2,1,28.0,79.0,169.0,44t
20.0,2023-12-01 20:00:00,16.6,1,28.0,80.0,153.0,44t
21.0,2023-12-01 21:00:00,13.8,1,27.0,81.0,139.0,44t
22.0,2023-12-01 22:00:00,15.0,1,28.0,82.0,123.0,44t
23.0,2023-12-01 23:00:00,10.9,2,25.0,91.0,66.0,44t
24.0,2023-12-02 00:00:00,7.1,1,24.0,89.0,88.0,44t
25.0,2023-12-02 01:00:00,5.3,0,24.0,94.0,110.0,44t
26.0,2023-12-02 02:00:00,9.4,0,24.0,97.0,109.0,44t
27.0,2023-12-02 03:00:00,7.5,0,24.0,98.0,108.0,44t
28.0,2023-12-02 04:00:00,6.2,0,24.0,98.0,110.0,44t
29.0,2023-12-02 05:00:00,7.4,0,23.0,98.0,111.0,44t
30.0,2023-12-02 06:00:00,10.7,0,24.0,98.0,113.0,44t
31.0,2023-12-02 07:00:00,8.4,0,24.0,96.0,110.0,44t
32.0,2023-12-02 08:00:00,13.7,0,25.0,93.0,111.0,44t
33.0,2023-12-02 09:00:00,16.9,1,27.0,85.0,117.0,44t
