DATETIMEDATA,O3,WS,TEMP,RH,WD,stationID,PM25,prediction_label
2023-12-01 00:00:00,11.8,1,26,93,111,44t,9.1,16.134957100749997
2023-12-01 01:00:00,11.8,1,25,96,117,44t,9.8,13.493001911503772
2023-12-01 02:00:00,11.8,1,25,97,114,44t,12.4,14.490212844281569
2023-12-01 03:00:00,11.8,0,25,96,107,44t,11.6,14.290058317864396
2023-12-01 04:00:00,11.8,0,25,99,116,44t,9.6,13.359227792526266
2023-12-01 05:00:00,11.8,0,25,99,109,44t,10.8,16.019101557971904
2023-12-01 06:00:00,11.8,0,25,99,104,44t,10.8,13.951632505404984
2023-12-01 07:00:00,11.8,0,25,99,106,44t,11.0,16.053433124392928
2023-12-01 08:00:00,11.8,0,26,93,112,44t,15.4,15.743292356531047
2023-12-01 09:00:00,11.8,1,28,82,158,44t,15.0,15.319544941395105
2023-12-01 10:00:00,11.8,1,28,82,135,44t,10.5,13.876209169061863
2023-12-01 11:00:00,11.8,1,28,81,127,44t,8.9,13.384112384436737
2023-12-01 12:00:00,11.8,1,28,81,150,44t,6.6,15.966133244727576
2023-12-01 13:00:00,11.8,1,29,74,205,44t,6.2,15.498588323021817
2023-12-01 14:00:00,11.8,1,29,76,146,44t,10.7,13.964916360165336
2023-12-01 15:00:00,11.8,1,29,76,130,44t,12.2,16.31062973230561
2023-12-01 16:00:00,11.8,1,29,77,165,44t,13.7,14.862055529363122
2023-12-01 17:00:00,11.8,1,29,76,187,44t,10.9,13.571564633333129
2023-12-01 18:00:00,11.8,1,28,77,163,44t,12.0,15.909858626053438
2023-12-01 19:00:00,11.8,1,28,79,169,44t,13.2,14.580416306423512
2023-12-01 20:00:00,11.8,1,28,80,153,44t,16.6,15.954925553927463
2023-12-01 21:00:00,11.8,1,27,81,139,44t,13.8,16.092015654938
2023-12-01 22:00:00,11.8,1,28,82,123,44t,15.0,15.720079882973717
2023-12-01 23:00:00,11.8,2,25,91,66,44t,10.9,14.609413011334151
2023-12-02 00:00:00,11.8,1,24,89,88,44t,7.1,12.96281407215086
2023-12-02 01:00:00,11.8,0,24,94,110,44t,5.3,11.912812202833546
2023-12-02 02:00:00,11.8,0,24,97,109,44t,9.4,13.40973582283144
2023-12-02 03:00:00,11.8,0,24,98,108,44t,7.5,12.677514958098055
2023-12-02 04:00:00,11.8,0,24,98,110,44t,6.2,16.030781578119136
2023-12-02 05:00:00,11.8,0,23,98,111,44t,7.4,12.605260217882812
2023-12-02 06:00:00,11.8,0,24,98,113,44t,10.7,15.996450011698112
2023-12-02 07:00:00,11.8,0,24,96,110,44t,8.4,16.07702932936095
2023-12-02 08:00:00,11.8,0,25,93,111,44t,13.7,15.110041715007032
2023-12-02 09:00:00,11.8,1,27,85,117,44t,16.9,16.439912233539193
2023-12-02 10:00:00,11.8,0,28,78,100,44t,13.8,15.620705614157242
2023-12-02 11:00:00,11.8,1,28,78,81,44t,11.9,16.825130899273855
2023-12-02 12:00:00,11.8,1,27,82,123,44t,11.8,14.50653723656676
2023-12-02 13:00:00,11.8,1,28,79,118,44t,9.7,13.83674058695934
2023-12-02 14:00:00,11.8,2,27,88,135,44t,11.5,14.116698014942589
2023-12-02 15:00:00,11.8,0,25,90,135,44t,14.2,15.094376860304653
2023-12-02 16:00:00,11.8,1,26,89,182,44t,13.3,14.238330783682851
2023-12-02 17:00:00,11.8,0,25,95,129,44t,14.2,15.04742061504216
2023-12-02 18:00:00,11.8,0,24,96,107,44t,11.4,16.111360895781974
2023-12-02 19:00:00,11.8,0,24,97,103,44t,12.7,16.134012442055766
2023-12-02 20:00:00,11.8,0,25,96,108,44t,17.3,16.440236996149192
2023-12-02 21:00:00,11.8,0,25,93,94,44t,14.1,15.456280314900315
2023-12-02 22:00:00,11.8,0,25,96,99,44t,10.3,13.888607359832992
2023-12-02 23:00:00,11.8,0,25,93,97,44t,14.7,15.649487791244635
2023-12-03 00:00:00,11.8,0,25,95,113,44t,13.8,15.078829607444046
2023-12-03 01:00:00,11.8,0,25,98,101,44t,15.5,15.791478743263124
2023-12-03 02:00:00,11.8,0,25,98,97,44t,13.0,16.17955169927691
2023-12-03 03:00:00,11.8,0,25,98,102,44t,11.6,14.301029843990957
2023-12-03 04:00:00,11.8,0,24,99,110,44t,12.4,14.489740514934457
2023-12-03 05:00:00,11.8,0,24,99,113,44t,14.9,15.403489197528852
2023-12-03 06:00:00,11.8,0,24,99,106,44t,12.0,16.053433124392928
2023-12-03 07:00:00,11.8,0,25,99,107,44t,9.4,13.386375782536977
2023-12-03 08:00:00,11.8,0,26,93,115,44t,12.6,14.647111200543893
2023-12-03 09:00:00,11.8,0,28,82,109,44t,10.5,14.173749411377404
2023-12-03 10:00:00,11.8,1,30,70,128,44t,9.6,13.892493919848494
2023-12-03 11:00:00,11.8,1,30,71,134,44t,8.6,13.421474811779373
2023-12-03 12:00:00,11.8,1,31,65,135,44t,5.6,12.41107773038068
2023-12-03 13:00:00,11.8,1,30,74,138,44t,8.5,16.265326639758026
