DATETIMEDATA,O3,WS,TEMP,RH,WD,stationID,PM25,prediction_label
2024-02-21 00:00:00,13.0,0,28,80,106,44t,12.6,15.151921522981649
2024-02-21 01:00:00,9.0,0,27,82,105,44t,20.4,17.803931791220972
2024-02-21 02:00:00,9.0,0,27,84,105,44t,19.8,16.451171809169292
2024-02-21 03:00:00,6.0,1,27,84,95,44t,12.3,16.644927581814198
2024-02-21 04:00:00,5.0,0,26,87,109,44t,13.9,15.67828804556093
2024-02-21 05:00:00,4.0,0,26,89,109,44t,20.6,17.846129741783027
2024-02-21 06:00:00,2.0,0,26,89,112,44t,25.7,19.538376931142093
2024-02-21 07:00:00,7.0,0,26,87,109,44t,21.8,16.42720329419267
2024-02-21 08:00:00,16.0,1,28,72,108,44t,24.0,18.9353492935884
2024-02-21 09:00:00,23.0,1,30,62,102,44t,17.7,16.90956351209545
2024-02-21 10:00:00,31.0,1,32,54,118,44t,12.8,15.039841594508896
2024-02-21 11:00:00,11.8,1,33,47,130,44t,10.2,14.79516886275086
2024-02-21 12:00:00,22.0,1,34,45,127,44t,9.2,14.208960745664104
2024-02-21 13:00:00,23.0,1,34,44,142,44t,9.5,14.14614673471679
2024-02-21 14:00:00,28.0,2,34,43,147,44t,8.4,13.60632864094148
2024-02-21 15:00:00,30.0,1,34,45,155,44t,13.6,16.020090679621706
2024-02-21 16:00:00,28.0,1,33,52,174,44t,17.9,16.245337323143946
2024-02-21 17:00:00,25.0,2,31,57,151,44t,14.0,16.01207195549974
2024-02-21 18:00:00,22.0,1,30,66,138,44t,16.1,16.055257091771036
2024-02-21 19:00:00,19.0,1,29,71,120,44t,19.4,17.22180254467992
2024-02-21 20:00:00,20.0,1,28,73,116,44t,14.4,15.581119181223354
2024-02-21 21:00:00,30.0,1,28,74,113,44t,18.2,16.520143455020293
2024-02-21 22:00:00,29.0,1,28,75,109,44t,16.4,15.982374414163306
2024-02-21 23:00:00,20.0,1,28,76,107,44t,11.4,14.627134466736972
2024-02-22 00:00:00,19.0,1,28,76,106,44t,17.5,16.655184892630583
2024-02-22 01:00:00,17.0,1,27,78,108,44t,17.0,16.51142902968667
2024-02-22 02:00:00,14.0,0,27,81,106,44t,15.6,16.09945925902704
2024-02-22 03:00:00,12.0,0,26,83,114,44t,13.4,16.31397926702206
2024-02-22 04:00:00,7.0,0,26,86,109,44t,11.8,14.955579278908868
2024-02-22 05:00:00,11.0,1,26,83,101,44t,20.1,17.686455116868803
2024-02-22 06:00:00,3.0,0,26,85,105,44t,20.5,16.63607415844356
2024-02-22 07:00:00,4.0,1,26,84,103,44t,25.9,19.74751113939347
2024-02-22 08:00:00,21.0,1,29,69,118,44t,25.4,16.244820820140102
2024-02-22 09:00:00,25.0,1,31,60,108,44t,15.2,16.381353089508064
2024-02-22 10:00:00,27.0,1,31,56,134,44t,12.9,15.01043505832246
2024-02-22 11:00:00,27.0,1,33,51,136,44t,13.2,15.15427889008146
2024-02-22 12:00:00,11.8,1,33,48,138,44t,10.0,14.625865967211713
2024-02-22 13:00:00,24.0,1,33,46,144,44t,11.2,14.627082870115107
2024-02-22 14:00:00,24.0,1,33,45,170,44t,8.5,13.505697201791467
2024-02-22 15:00:00,22.0,1,33,45,156,44t,8.6,13.742061892003736
2024-02-22 16:00:00,22.0,2,33,49,138,44t,7.9,13.606178654484662
2024-02-22 17:00:00,21.0,1,31,55,156,44t,9.7,13.95087464516089
2024-02-22 18:00:00,20.0,1,29,64,157,44t,10.3,14.009375269469214
2024-02-22 19:00:00,19.0,1,29,68,118,44t,11.2,14.639070696718033
2024-02-22 20:00:00,21.0,2,28,69,118,44t,12.0,14.839242477834826
2024-02-22 21:00:00,22.0,1,28,70,110,44t,12.5,15.030111641860639
2024-02-22 22:00:00,28.0,1,28,72,109,44t,9.8,13.931195684337563
2024-02-22 23:00:00,20.0,1,28,74,107,44t,9.3,16.29731248824211
2024-02-23 00:00:00,15.0,1,27,76,106,44t,10.5,14.521097431209203
2024-02-23 01:00:00,10.0,1,27,79,107,44t,12.6,15.280140159878083
2024-02-23 02:00:00,10.0,1,26,82,106,44t,16.2,16.418487716439596
2024-02-23 03:00:00,9.0,0,26,84,105,44t,14.8,15.957754019077495
2024-02-23 04:00:00,8.0,0,26,85,105,44t,16.9,16.64979429658295
2024-02-23 05:00:00,5.0,1,25,87,106,44t,16.1,16.449150720770422
2024-02-23 06:00:00,2.0,0,25,88,105,44t,21.7,18.35290393036645
2024-02-23 07:00:00,5.0,0,26,83,102,44t,23.0,18.80502854739324
2024-02-23 08:00:00,11.8,1,28,71,113,44t,16.4,16.56016587071807
2024-02-23 09:00:00,11.8,1,30,63,131,44t,16.4,16.51172284930684
2024-02-23 10:00:00,11.8,1,31,56,159,44t,12.1,14.961603290153075
2024-02-23 11:00:00,11.8,1,32,52,164,44t,10.1,14.326538694331315
2024-02-23 12:00:00,11.8,1,32,50,171,44t,7.3,13.388649714056722
2024-02-23 13:00:00,11.8,1,33,49,176,44t,6.9,13.206574474551825
2024-02-23 14:00:00,11.8,1,33,48,175,44t,5.3,12.718263363173012
2024-02-23 15:00:00,11.8,1,33,50,185,44t,5.6,12.66874766026115
2024-02-23 16:00:00,11.8,1,32,52,192,44t,8.6,16.08982191181448
2024-02-23 17:00:00,11.8,1,31,53,189,44t,10.0,14.040477061081308
2024-02-23 18:00:00,11.8,1,30,62,136,44t,12.1,15.082778442563399
2024-02-23 19:00:00,11.8,1,29,68,131,44t,10.4,14.466991070942033
